Account ID,Card No,Transaction Date,Transaction Amount,Terminal ID,Terminal Location,Transaction Type,Transaction Destination,IQR,iForest,Local Outlier,Elliptical
501144703441,4324 5678 3418 6374,"Wednesday, 12 January 2022",52.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Wednesday, 12 January 2022",560.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Wednesday, 12 January 2022",98.00,8946,Westgate,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Wednesday, 12 January 2022",42.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Wednesday, 12 January 2022",58.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Wednesday, 12 January 2022",42.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Thursday, 13 January 2022",58.00,41826,Bugis+,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Thursday, 13 January 2022",66.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Thursday, 13 January 2022",30.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 14 January 2022",38.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Friday, 14 January 2022",24.00,41826,Bugis+,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Saturday, 15 January 2022",24.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Saturday, 15 January 2022",86.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Saturday, 15 January 2022",58.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Saturday, 15 January 2022",74.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Sunday, 16 January 2022",38.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Monday, 17 January 2022",84.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Monday, 17 January 2022",80.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Tuesday, 18 January 2022",32.00,41826,Bugis+,Funds Transfer,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Tuesday, 18 January 2022",40.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Wednesday, 19 January 2022",62.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Wednesday, 19 January 2022",22.00,2212,ION Orchard,Funds Transfer,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Wednesday, 19 January 2022",24.00,6757,Habourfront,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Thursday, 20 January 2022",30.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Thursday, 20 January 2022",30.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Thursday, 20 January 2022",24.00,41826,Bugis+,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Thursday, 20 January 2022",44.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Thursday, 20 January 2022",96.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Thursday, 20 January 2022",62.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Friday, 21 January 2022",74.00,41826,Bugis+,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Friday, 21 January 2022",48.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Friday, 21 January 2022",66.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Saturday, 22 January 2022",96.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Saturday, 22 January 2022",92.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Sunday, 23 January 2022",28.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Sunday, 23 January 2022",22.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Sunday, 23 January 2022",82.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Sunday, 23 January 2022",88.00,41826,Bugis+,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Monday, 24 January 2022",50.00,6757,Habourfront,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Monday, 24 January 2022",96.00,6757,Habourfront,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Monday, 24 January 2022",26.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Monday, 24 January 2022",36.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Tuesday, 25 January 2022",34.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Tuesday, 25 January 2022",56.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Wednesday, 26 January 2022",34.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Wednesday, 26 January 2022",52.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Wednesday, 26 January 2022",56.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Wednesday, 26 January 2022",46.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Thursday, 27 January 2022",58.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Thursday, 27 January 2022",40.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Thursday, 27 January 2022",30.00,8946,Westgate,Funds Transfer,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Friday, 28 January 2022",78.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Friday, 28 January 2022",88.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Saturday, 29 January 2022",94.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Saturday, 29 January 2022",92.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Sunday, 30 January 2022",34.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Sunday, 30 January 2022",90.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Sunday, 30 January 2022",52.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Monday, 31 January 2022",46.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Monday, 31 January 2022",38.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Monday, 31 January 2022",44.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Monday, 31 January 2022",62.00,2212,ION Orchard,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Monday, 31 January 2022",4720.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Tuesday, 1 February 2022",56.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Tuesday, 1 February 2022",86.00,2212,ION Orchard,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Thursday, 3 February 2022",30.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Thursday, 3 February 2022",82.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 4 February 2022",98.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 4 February 2022",100.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Friday, 4 February 2022",96.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Saturday, 5 February 2022",64.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Saturday, 5 February 2022",70.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Saturday, 5 February 2022",92.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Saturday, 5 February 2022",76.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Sunday, 6 February 2022",86.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Sunday, 6 February 2022",54.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Sunday, 6 February 2022",44.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Sunday, 6 February 2022",28.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Monday, 7 February 2022",34.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Monday, 7 February 2022",28.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Monday, 7 February 2022",70.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Tuesday, 8 February 2022",76.00,2212,ION Orchard,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Tuesday, 8 February 2022",40.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Wednesday, 9 February 2022",62.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Wednesday, 9 February 2022",70.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Wednesday, 9 February 2022",100.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Thursday, 10 February 2022",38.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Thursday, 10 February 2022",32.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Thursday, 10 February 2022",52.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Thursday, 10 February 2022",90.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Thursday, 10 February 2022",100.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Thursday, 10 February 2022",60.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 11 February 2022",62.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Friday, 11 February 2022",60.00,6757,Habourfront,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Saturday, 12 February 2022",66.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Saturday, 12 February 2022",88.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Saturday, 12 February 2022",60.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Sunday, 13 February 2022",22.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Sunday, 13 February 2022",44.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Monday, 14 February 2022",86.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Wednesday, 16 February 2022",98.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Wednesday, 16 February 2022",74.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Wednesday, 16 February 2022",32.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Wednesday, 16 February 2022",20.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Wednesday, 16 February 2022",90.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Thursday, 17 February 2022",80.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Thursday, 17 February 2022",42.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 18 February 2022",66.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 18 February 2022",66.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Friday, 18 February 2022",66.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 18 February 2022",46.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Friday, 18 February 2022",100.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 18 February 2022",30.00,2212,ION Orchard,Funds Transfer,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Friday, 18 February 2022",24.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Saturday, 19 February 2022",54.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Saturday, 19 February 2022",60.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Sunday, 20 February 2022",58.00,41826,Bugis+,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Sunday, 20 February 2022",68.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Sunday, 20 February 2022",100.00,8946,Westgate,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Sunday, 20 February 2022",92.00,41826,Bugis+,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Sunday, 20 February 2022",46.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Monday, 21 February 2022",54.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Monday, 21 February 2022",30.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Monday, 21 February 2022",26.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Monday, 21 February 2022",96.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Tuesday, 22 February 2022",24.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Tuesday, 22 February 2022",20.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Tuesday, 22 February 2022",20.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Tuesday, 22 February 2022",44.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Wednesday, 23 February 2022",52.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Wednesday, 23 February 2022",34.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Wednesday, 23 February 2022",84.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Wednesday, 23 February 2022",36.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Wednesday, 23 February 2022",54.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Thursday, 24 February 2022",36.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Thursday, 24 February 2022",66.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Thursday, 24 February 2022",80.00,41826,Bugis+,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Thursday, 24 February 2022",52.00,41826,Bugis+,Funds Transfer,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Thursday, 24 February 2022",94.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 25 February 2022",82.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 25 February 2022",52.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Saturday, 26 February 2022",60.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Saturday, 26 February 2022",98.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Saturday, 26 February 2022",52.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Saturday, 26 February 2022",28.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Saturday, 26 February 2022",78.00,7698,Jurong Point,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Saturday, 26 February 2022",48.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Saturday, 26 February 2022",62.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Sunday, 27 February 2022",80.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Monday, 28 February 2022",22.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Monday, 28 February 2022",34.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Monday, 28 February 2022",32.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Wednesday, 2 March 2022",88.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Wednesday, 2 March 2022",46.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Wednesday, 2 March 2022",58.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Thursday, 3 March 2022",36.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Thursday, 3 March 2022",60.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Thursday, 3 March 2022",100.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Friday, 4 March 2022",40.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Saturday, 5 March 2022",62.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Sunday, 6 March 2022",54.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Monday, 7 March 2022",52.00,41826,Bugis+,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Monday, 7 March 2022",44.00,2212,ION Orchard,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Monday, 7 March 2022",40.00,8946,Westgate,Funds Transfer,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Monday, 7 March 2022",46.00,2212,ION Orchard,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Monday, 7 March 2022",36.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Tuesday, 8 March 2022",76.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Tuesday, 8 March 2022",86.00,6757,Habourfront,Deposit,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Tuesday, 8 March 2022",94.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Tuesday, 8 March 2022",64.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Tuesday, 8 March 2022",86.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Wednesday, 9 March 2022",86.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Wednesday, 9 March 2022",38.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Wednesday, 9 March 2022",38.00,6757,Habourfront,Funds Transfer,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Thursday, 10 March 2022",68.00,8946,Westgate,Funds Transfer,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Thursday, 10 March 2022",62.00,6757,Habourfront,Withdraw,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Thursday, 10 March 2022",62.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Thursday, 10 March 2022",62.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Friday, 11 March 2022",94.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501124515611,5264 7110 6400 6369,"Friday, 11 March 2022",48.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
501130862511,4330 5678 3418 6872,"Friday, 11 March 2022",34.00,7698,Jurong Point,Deposit,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Friday, 11 March 2022",68.00,8946,Westgate,Withdraw,Singapore,1,1,1,1
501177064303,5278 7110 6400 7114,"Friday, 11 March 2022",54.00,8946,Westgate,Deposit,Singapore,1,1,1,1
501171904212,5273 7110 6400 6687,"Saturday, 12 March 2022",98.00,7698,Jurong Point,Withdraw,Singapore,1,1,1,1
501144703441,4324 5678 3418 6374,"Saturday, 12 March 2022",40.00,41826,Bugis+,Withdraw,Singapore,1,1,1,1
